cat,VEGDESC,VEG_ID,F_CODEDESC,F_CODE,AREA_KM2
1.000,Deciduous,24.000,Trees,EC030,1354.405
2.000,Deciduous,24.000,Trees,EC030,1230.265
3.000,Deciduous,24.000,Trees,EC030,135.112
4.000,Deciduous,24.000,Trees,EC030,117.307
5.000,Mixed Trees,50.000,Trees,EC030,325.063
6.000,Deciduous,24.000,Trees,EC030,138.816
7.000,Deciduous,24.000,Trees,EC030,223.620
8.000,Deciduous,24.000,Trees,EC030,118.908
9.000,Deciduous,24.000,Trees,EC030,113.055
10.000,Deciduous,24.000,Trees,EC030,344.757
16.000,Deciduous,24.000,Trees,EC030,654.027
17.000,Deciduous,24.000,Trees,EC030,499.318
18.000,Deciduous,24.000,Trees,EC030,1936.511
19.000,Deciduous,24.000,Trees,EC030,431.282
20.000,Deciduous,24.000,Trees,EC030,136.610
21.000,Deciduous,24.000,Trees,EC030,153.901
23.000,Deciduous,24.000,Trees,EC030,148.989
24.000,Deciduous,24.000,Trees,EC030,510.708
26.000,Deciduous,24.000,Trees,EC030,230.255
27.000,Deciduous,24.000,Trees,EC030,1220.006
28.000,Mixed Trees,50.000,Trees,EC030,135.674
29.000,Mixed Trees,50.000,Trees,EC030,200.158
30.000,Evergreen,25.000,Trees,EC030,104.364
31.000,Mixed Trees,50.000,Trees,EC030,152.499
32.000,Mixed Trees,50.000,Trees,EC030,101.697
33.000,Mixed Trees,50.000,Trees,EC030,319.151
34.000,Mixed Trees,50.000,Trees,EC030,113.810
35.000,Mixed Trees,50.000,Trees,EC030,101.232
36.000,Mixed Trees,50.000,Trees,EC030,229.181
37.000,Deciduous,24.000,Trees,EC030,353.318
42.000,Mixed Trees,50.000,Trees,EC030,535.851
43.000,Mixed Trees,50.000,Trees,EC030,295.758
44.000,Mixed Trees,50.000,Trees,EC030,276.251
45.000,Mixed Trees,50.000,Trees,EC030,392.284
46.000,Mixed Trees,50.000,Trees,EC030,111.145
47.000,Mixed Trees,50.000,Trees,EC030,129.118
48.000,Mixed Trees,50.000,Trees,EC030,136.304
