cat,VEGDESC,VEG_ID,F_CODEDESC,F_CODE,AREA_KM2,CLUSTER_ID
1.000,Deciduous,24.000,Trees,EC030,1354.405,"3"
2.000,Deciduous,24.000,Trees,EC030,1230.265,"3"
3.000,Deciduous,24.000,Trees,EC030,135.112,"3"
4.000,Deciduous,24.000,Trees,EC030,117.307,"3"
5.000,Mixed Trees,50.000,Trees,EC030,325.063,"2"
6.000,Deciduous,24.000,Trees,EC030,138.816,"3"
7.000,Deciduous,24.000,Trees,EC030,223.620,"3"
8.000,Deciduous,24.000,Trees,EC030,118.908,"3"
9.000,Deciduous,24.000,Trees,EC030,113.055,"3"
10.000,Deciduous,24.000,Trees,EC030,344.757,"3"
16.000,Deciduous,24.000,Trees,EC030,654.027,"3"
17.000,Deciduous,24.000,Trees,EC030,499.318,"3"
18.000,Deciduous,24.000,Trees,EC030,1936.511,"3"
19.000,Deciduous,24.000,Trees,EC030,431.282,"3"
20.000,Deciduous,24.000,Trees,EC030,136.610,"3"
21.000,Deciduous,24.000,Trees,EC030,153.901,"3"
23.000,Deciduous,24.000,Trees,EC030,148.989,"3"
24.000,Deciduous,24.000,Trees,EC030,510.708,"3"
26.000,Deciduous,24.000,Trees,EC030,230.255,"3"
27.000,Deciduous,24.000,Trees,EC030,1220.006,"3"
28.000,Mixed Trees,50.000,Trees,EC030,135.674,"0"
29.000,Mixed Trees,50.000,Trees,EC030,200.158,"0"
30.000,Evergreen,25.000,Trees,EC030,104.364,"0"
31.000,Mixed Trees,50.000,Trees,EC030,152.499,"0"
32.000,Mixed Trees,50.000,Trees,EC030,101.697,"0"
33.000,Mixed Trees,50.000,Trees,EC030,319.151,"0"
34.000,Mixed Trees,50.000,Trees,EC030,113.810,"0"
35.000,Mixed Trees,50.000,Trees,EC030,101.232,"0"
36.000,Mixed Trees,50.000,Trees,EC030,229.181,"0"
37.000,Deciduous,24.000,Trees,EC030,353.318,"2"
42.000,Mixed Trees,50.000,Trees,EC030,535.851,"2"
43.000,Mixed Trees,50.000,Trees,EC030,295.758,"4"
44.000,Mixed Trees,50.000,Trees,EC030,276.251,"4"
45.000,Mixed Trees,50.000,Trees,EC030,392.284,"4"
46.000,Mixed Trees,50.000,Trees,EC030,111.145,"4"
47.000,Mixed Trees,50.000,Trees,EC030,129.118,"4"
48.000,Mixed Trees,50.000,Trees,EC030,136.304,"4"
49.000,Mixed Trees,50.000,Trees,EC030,126.077,"4"
50.000,Mixed Trees,50.000,Trees,EC030,244.795,"4"
51.000,Mixed Trees,50.000,Trees,EC030,413.327,"4"
