cat,F_CODEDESC,F_CODE,AREAKM2,area,perimeter
1.000,Scrub/Brush,EB020,208.800,2247540570.94238,307044.758336767
2.000,Scrub/Brush,EB020,2032.186,21875510704.803,2378730.81315552
3.000,Scrub/Brush,EB020,110.812,1192769421.63574,164380.713551354
4.000,Scrub/Brush,EB020,1573.062,16932413293.2842,928653.286885116
5.000,Scrub/Brush,EB020,106.651,1147918994.6853,177911.590967832
7.000,Scrub/Brush,EB020,130.863,1408742137.35815,261583.421989962
8.000,Scrub/Brush,EB020,151.526,1630935856.36438,263668.324170606
9.000,Scrub/Brush,EB020,736.645,7929281434.05151,712793.618287582
10.000,Scrub/Brush,EB020,678.967,7308121838.29297,661297.331691113
11.000,Scrub/Brush,EB020,160.956,1732556524.02771,334577.688488519
12.000,Scrub/Brush,EB020,157.468,1694934635.22156,266354.318246742
13.000,Scrub/Brush,EB020,580.319,6246441289.92865,761147.323501086
20.000,Scrub/Brush,EB020,141.448,1522608585.24707,308016.945713686
21.000,Scrub/Brush,EB020,116.850,1257690034.16675,210521.937372111
22.000,Scrub/Brush,EB020,262.456,2824920959.12427,369276.629992324
23.000,Scrub/Brush,EB020,137.484,1479705247.96655,232731.981096016
6.000,Scrub/Brush,EB020,186.673,2009332399.58496,222504.251301217
14.000,Grassland,EB010,354.877,3820228165.46216,486005.372108956
15.000,Scrub/Brush,EB020,114.614,1233732187.79102,507712.901281271
16.000,Scrub/Brush,EB020,156.795,1687777351.90381,319162.377615558
17.000,Scrub/Brush,EB020,169.684,1826503774.27637,284874.03073967
18.000,Grassland,EB010,118.721,1277912352.67236,174911.836416248
19.000,Grassland,EB010,119.780,1289336601.06372,144277.294310726
24.000,Grassland,EB010,142.898,1538142572.46655,426037.15855405
25.000,Grassland,EB010,173.008,1862179825.75018,306321.592948877
43.000,Scrub/Brush,EB020,207.153,2229768153.04102,330219.74219251
49.000,Scrub/Brush,EB020,127.068,1367808493.68604,239474.572770569
54.000,Scrub/Brush,EB020,309.827,3334829024.12451,403591.180419698
73.000,Scrub/Brush,EB020,349.000,3756645370.59006,583863.014099388
27.000,Scrub/Brush,EB020,136.619,1470549481.073,165875.201149641
80.000,Scrub/Brush,EB020,1083.957,11667129171.7773,738651.704720249
81.000,Scrub/Brush,EB020,120.589,1297995187.96558,209204.348933733
83.000,Scrub/Brush,EB020,172.974,1861902001.03662,265354.388588327
90.000,Scrub/Brush,EB020,297.692,3204131123.95642,554798.622666379
93.000,Scrub/Brush,EB020,1448.531,15590277506.4266,1804132.33027694
97.000,Scrub/Brush,EB020,1214.337,13070876430.2805,1518447.83288952
99.000,Scrub/Brush,EB020,4696.048,50548088039.3616,4532947.99611438
28.000,Scrub/Brush,EB020,272.739,2935726616.5249,340723.707403423
100.000,Scrub/Brush,EB020,124.779,1343117823.44971,269620.507193589
101.000,Scrub/Brush,EB020,104.852,1128615977.69897,196506.031666923
102.000,Scrub/Brush,EB020,472.912,5090491197.30737,939904.954724181
106.000,Scrub/Brush,EB020,489.150,5265179353.03369,554166.938940238
110.000,Scrub/Brush,EB020,283.160,3047885639.36011,491578.216939416
113.000,Grassland,EB010,154.640,1664545424.70215,281671.871553533
114.000,Grassland,EB010,154.606,1664067743.56445,302025.124146991
115.000,Grassland,EB010,223.356,2404306657.74854,403405.453889428
116.000,Grassland,EB010,475.546,5119004572.93262,586725.052325429
117.000,Scrub/Brush,EB020,237.347,2554722995.23303,437457.596526797
118.000,Scrub/Brush,EB020,139.679,1503549689.10229,205894.707999636
119.000,Scrub/Brush,EB020,183.499,1975128980.83545,364244.150604408
120.000,Scrub/Brush,EB020,179.956,1936923225.15796,278201.642370599
121.000,Scrub/Brush,EB020,120.898,1301215812.42285,283451.23347713
122.000,Scrub/Brush,EB020,196.266,2112561392.50879,425879.65625788
123.000,Scrub/Brush,EB020,162.775,1753094522.05371,437322.121488573
124.000,Scrub/Brush,EB020,922.602,9928962951.38379,1028623.36154088
125.000,Scrub/Brush,EB020,294.634,3171376774.48291,296463.503203583
126.000,Scrub/Brush,EB020,184.556,1986356065.96121,307516.672255303
127.000,Scrub/Brush,EB020,134.132,1443608310.60817,234752.018368528
128.000,Scrub/Brush,EB020,112.802,1214196159.04504,325403.291115781
129.000,Scrub/Brush,EB020,278.901,3002007331.40331,461135.082512953
130.000,Scrub/Brush,EB020,212.388,2286201173.03937,387145.828124236
131.000,Scrub/Brush,EB020,141.494,1523304213.36929,227385.633621172
132.000,Scrub/Brush,EB020,347.533,3740958147.05713,568106.365438264
133.000,Scrub/Brush,EB020,1226.206,13198890881.884,1513970.07987696
134.000,Scrub/Brush,EB020,105.677,1137389893.72089,159625.304802491
135.000,Scrub/Brush,EB020,132.638,1427605029.90894,207492.711323603
136.000,Scrub/Brush,EB020,188.244,2026400698.34546,592886.92153459
137.000,Grassland,EB010,1650.524,17765046008.0723,2369601.39346627
138.000,Scrub/Brush,EB020,7216.138,77662766614.5634,7298656.65826411
26.000,Scrub/Brush,EB020,334.556,3601010955.92358,454378.907006453
142.000,Scrub/Brush,EB020,311.497,3352235378.37207,485279.424786458
143.000,Scrub/Brush,EB020,115.409,1242244439.70923,171967.815599799
