cat,F_CODEDESC,F_CODE,AREAKM2,area,perimeter
1.000,Marsh/Swamp,BH095,1263.080,13595764711.3926,1563944.33902973
2.000,Marsh/Swamp,BH095,489.739,5271593700.19687,751706.9883054
3.000,Marsh/Swamp,BH095,106.636,1147777126.80286,229573.597669427
4.000,Marsh/Swamp,BH095,230.417,2480183151.9657,435032.907810563
5.000,Marsh/Swamp,BH095,151.251,1628018164.94824,218580.735335137
6.000,Marsh/Swamp,BH095,350.414,3771892576.76965,671984.201631317
7.000,Marsh/Swamp,BH095,164.443,1770045796.45144,219242.709459435
8.000,Marsh/Swamp,BH095,207.046,2228619301.02075,369428.343611405
9.000,Marsh/Swamp,BH095,108.921,1172441252.9834,256776.337582777
10.000,Marsh/Swamp,BH095,198.646,2138213321.06848,436381.63487411
11.000,Marsh/Swamp,BH095,348.054,3746414701.75522,660621.549855447
12.000,Marsh/Swamp,BH095,104.240,1122035255.61279,197842.355000139
13.000,Marsh/Swamp,BH095,319.453,3438434850.07227,406483.044085494
14.000,Marsh/Swamp,BH095,198.381,2135347452.78613,370925.973332278
15.000,Marsh/Swamp,BH095,135.838,1462161849.80963,322081.582442785
16.000,Marsh/Swamp,BH095,230.801,2484178082.99219,238969.276423192
17.000,Marsh/Swamp,BH095,246.260,2650710106.26074,320179.967917717
18.000,Marsh/Swamp,BH095,357.742,3850639958.62061,543828.533511653
19.000,Marsh/Swamp,BH095,252.476,2717608904.27103,458543.665587007
20.000,Marsh/Swamp,BH095,104.141,1120967628.08496,167526.729516159
21.000,Marsh/Swamp,BH095,106.099,1142036270.32275,252896.456256959
22.000,Marsh/Swamp,BH095,105.405,1134570624.26372,224657.273807383
23.000,Marsh/Swamp,BH095,318.237,3425517103.93689,467556.036649635
24.000,Marsh/Swamp,BH095,179.195,1928864921.66162,270834.078317352
25.000,Marsh/Swamp,BH095,114.462,1232096690.50598,288358.619632027
26.000,Marsh/Swamp,BH095,119.178,1282840767.15332,230670.650361643
27.000,Marsh/Swamp,BH095,121.437,1307014255.78168,238831.118660074
28.000,Marsh/Swamp,BH095,187.442,2017454126.99719,327703.939582519
29.000,Marsh/Swamp,BH095,221.371,2382706417.46158,239254.264899558
30.000,Marsh/Swamp,BH095,208.824,2247745516.12686,422025.973447469
31.000,Marsh/Swamp,BH095,121.203,1304599782.78619,163608.968446241
32.000,Marsh/Swamp,BH095,385.835,4153208730.052,558820.305668908
33.000,Marsh/Swamp,BH095,913.763,9836131088.86467,1521887.58385967
34.000,Marsh/Swamp,BH095,149.180,1605807705.15875,295238.583113456
35.000,Marsh/Swamp,BH095,231.266,2489319159.77087,347913.571074382
36.000,Marsh/Swamp,BH095,255.207,2747118452.27924,448347.45955257
37.000,Marsh/Swamp,BH095,153.192,1648989088.72751,242654.925420582
38.000,Marsh/Swamp,BH095,193.924,2087483340.51465,298649.899048204
39.000,Marsh/Swamp,BH095,216.249,2327658135.65381,301474.305835365
40.000,Marsh/Swamp,BH095,109.385,1177422966.6543,222014.026577018
41.000,Marsh/Swamp,BH095,171.529,1846432292.82617,269469.619699799
42.000,Marsh/Swamp,BH095,210.619,2267095009.29395,453105.649878043
43.000,Marsh/Swamp,BH095,128.268,1380667556.59375,247445.002743759
44.000,Marsh/Swamp,BH095,124.507,1340232221.4043,226882.326240862
45.000,Marsh/Swamp,BH095,1075.315,11574664968.2314,1095165.10340586
46.000,Marsh/Swamp,BH095,254.654,2741111680.59717,364377.633117204
47.000,Marsh/Swamp,BH095,176.500,1899894262.72168,358144.704557026
48.000,Marsh/Swamp,BH095,139.864,1505523795.13965,281342.838159461
49.000,Marsh/Swamp,BH095,268.787,2893088579.4375,406273.059806456
50.000,Marsh/Swamp,BH095,348.311,3749099539.65771,546402.49489956
51.000,Marsh/Swamp,BH095,512.846,5520459322.45996,837536.508478592
52.000,Marsh/Swamp,BH095,542.084,5834916575.89795,1078759.65329168
53.000,Marsh/Swamp,BH095,2679.683,28842637290.584,2690148.84943645
54.000,Marsh/Swamp,BH095,688.101,7406461173.61572,1230131.404903
55.000,Marsh/Swamp,BH095,151.584,1631619409.68896,265630.294224363
57.000,Marsh/Swamp,BH095,441.888,4756420027.12471,800102.136295211
59.000,Marsh/Swamp,BH095,2571.623,27680091837.4023,2901003.68622521
60.000,Marsh/Swamp,BH095,153.550,1652674878.77002,321074.07315553
61.000,Marsh/Swamp,BH095,317.212,3414530763.08154,465864.422850818
62.000,Marsh/Swamp,BH095,124.682,1342013562.17407,259154.573455199
68.000,Marsh/Swamp,BH095,817.595,8800693633.99072,715842.27022957
69.000,Marsh/Swamp,BH095,133.403,1435882279.49121,247624.100784116
