cat,VEGDESC,VEG_ID,F_CODEDESC,F_CODE,AREA_KM2,area,perimeter
1.000,Deciduous,24.000,Trees,EC030,1354.405,14578817981.4141,1428737.57358538
2.000,Deciduous,24.000,Trees,EC030,1230.265,13242424972.428,1635020.036193
3.000,Deciduous,24.000,Trees,EC030,135.112,1454337885.04077,255861.043113117
4.000,Deciduous,24.000,Trees,EC030,117.307,1262680764.63513,280413.795458061
5.000,Mixed Trees,50.000,Trees,EC030,325.063,3499005998.96021,641206.611589629
6.000,Deciduous,24.000,Trees,EC030,138.816,1494227618.20654,228102.918564887
7.000,Deciduous,24.000,Trees,EC030,223.620,2407058392.44336,329136.197250082
8.000,Deciduous,24.000,Trees,EC030,118.908,1279938238.11621,279971.556353067
9.000,Deciduous,24.000,Trees,EC030,113.055,1216896997.33069,180162.039795101
10.000,Deciduous,24.000,Trees,EC030,344.757,3710979608.80225,347862.793764416
16.000,Deciduous,24.000,Trees,EC030,654.027,7039664897.24194,727334.815468118
17.000,Deciduous,24.000,Trees,EC030,499.318,5374650258.33203,651660.802432554
18.000,Deciduous,24.000,Trees,EC030,1936.511,20844451415.7153,1123167.35578162
19.000,Deciduous,24.000,Trees,EC030,431.282,4642328519.73975,636544.068567576
20.000,Deciduous,24.000,Trees,EC030,136.610,1470461847.37964,246049.364071097
21.000,Deciduous,24.000,Trees,EC030,153.901,1656589724.49268,249790.585209519
23.000,Deciduous,24.000,Trees,EC030,148.989,1603705514.17285,209599.702570985
24.000,Deciduous,24.000,Trees,EC030,510.708,5497029214.52734,632734.225969069
26.000,Deciduous,24.000,Trees,EC030,230.255,2478444034.29297,343005.492835883
27.000,Deciduous,24.000,Trees,EC030,1220.006,13132165437.9082,1319736.25384104
28.000,Mixed Trees,50.000,Trees,EC030,135.674,1460389293.72852,283625.044405899
29.000,Mixed Trees,50.000,Trees,EC030,200.158,2154474046.7836,323136.967315376
30.000,Evergreen,25.000,Trees,EC030,104.364,1123413404.89478,160740.132879561
31.000,Mixed Trees,50.000,Trees,EC030,152.499,1641473476.68921,250922.70953981
32.000,Mixed Trees,50.000,Trees,EC030,101.697,1094648275.26709,206939.473498018
33.000,Mixed Trees,50.000,Trees,EC030,319.151,3435361731.26172,578367.218581691
34.000,Mixed Trees,50.000,Trees,EC030,113.810,1225050381.2561,271195.785875885
